Spice_Type,Adulterant_Type,Adulteration_Level,Moisture,Ash_Content,Acid_Insoluble_Ash,Volatile_Oil,Protein,Fiber,Color_Intensity,Density,pH,Electrical_Conductivity,Is_Adulterated
Paprika,None,0.0,4.86,2.25,0.59,0.94,11.95,14.28,66.95,0.356,6.28,0.202,0
Cinnamon,None,0.0,4.31,4.52,1.13,0.54,10.16,14.22,59.1,0.318,5.03,0.142,0
Cinnamon,Corn Bran,59.458672793410955,7.96,1.0,2.77,0.1,10.7,18.33,60.04,0.586,5.91,0.898,1
Cumin,Grass Seeds,62.768625191483515,8.25,2.2,2.41,0.1,8.34,12.83,65.35,0.594,5.28,0.641,1
Paprika,None,0.0,4.55,3.5,0.34,1.04,8.77,11.62,61.72,0.362,5.75,0.157,0
Ginger,None,0.0,5.45,2.82,0.63,1.17,10.58,15.32,76.92,0.336,5.32,0.05,0
Ginger,None,0.0,3.8,4.07,0.68,1.43,8.34,16.85,51.58,0.325,5.83,0.05,0
Chili Powder,None,0.0,3.21,3.32,0.72,1.36,7.95,15.9,72.17,0.312,5.07,0.134,0
Paprika,None,0.0,6.05,3.93,0.58,1.08,8.69,16.95,73.2,0.285,5.55,0.168,0
Black Pepper,None,0.0,6.13,2.15,0.88,1.24,10.82,15.79,77.44,0.332,5.97,0.191,0
Ginger,Rice Powder,41.09863081094603,4.04,2.46,1.65,0.1,9.16,17.2,63.55,0.539,5.96,0.57,1
Cinnamon,None,0.0,6.82,2.65,0.7,0.47,13.72,13.72,56.86,0.428,4.52,0.292,0
Cinnamon,Coffee Bran,5.5869762684207664,7.68,4.05,0.36,0.47,10.06,13.1,57.47,0.313,5.87,0.071,1
Turmeric,None,0.0,5.45,4.43,0.35,1.19,9.62,14.35,69.99,0.337,5.15,0.243,0
Cinnamon,None,0.0,4.09,3.66,0.7,0.54,9.46,14.56,71.69,0.385,5.55,0.126,0
Paprika,Pedicel,31.44901744698659,6.38,3.05,2.23,0.1,9.5,16.94,68.36,0.417,5.88,0.437,1
Cinnamon,None,0.0,5.78,5.3,0.17,0.88,9.52,15.95,80.69,0.421,6.4,0.266,0
Ginger,Bean Powder,47.55505029303763,4.34,1.38,1.91,0.1,9.74,12.84,75.49,0.61,5.56,0.549,1
Turmeric,None,0.0,7.35,2.54,0.44,0.97,10.49,16.03,81.89,0.355,5.54,0.212,0
Cinnamon,None,0.0,5.35,3.46,0.48,0.2,9.92,12.48,71.36,0.374,5.01,0.309,0
Black Pepper,None,0.0,5.97,4.16,0.42,1.06,7.53,13.34,68.49,0.265,5.76,0.144,0
Paprika,Acacia Gum,10.76988061700495,5.2,3.19,0.81,0.59,7.9,12.36,44.91,0.379,4.93,0.292,1
Turmeric,Starch,20.538596592822266,8.75,2.73,1.42,0.33,9.3,18.24,50.65,0.503,4.54,0.313,1
Paprika,None,0.0,6.32,3.42,0.5,1.51,12.03,16.6,70.28,0.245,5.04,0.162,0
Paprika,Potato,45.273217068358925,5.07,2.07,1.95,0.1,9.55,16.47,52.61,0.537,5.67,0.488,1
Black Pepper,None,0.0,3.0,6.01,0.42,0.63,9.55,12.47,75.54,0.392,4.94,0.258,0
Black Pepper,None,0.0,4.03,2.66,0.52,1.76,9.67,11.17,84.0,0.346,5.49,0.382,0
Cinnamon,None,0.0,4.42,2.73,0.86,1.65,9.71,14.47,70.17,0.306,5.3,0.05,0
Turmeric,None,0.0,4.89,2.25,0.81,0.79,8.64,13.48,55.42,0.366,5.67,0.159,0
Cinnamon,Peanut Shell,62.65011851360252,4.56,2.5,3.13,0.1,11.18,13.29,66.49,0.668,6.05,0.617,1
Cinnamon,None,0.0,8.33,4.07,0.1,0.85,13.75,15.82,73.41,0.367,5.42,0.32,0
Cumin,None,0.0,6.15,1.0,0.83,0.85,11.44,16.26,74.82,0.399,5.63,0.227,0
Black Pepper,Capsicum,38.15713131242364,6.0,2.6,2.25,0.1,9.25,13.36,70.68,0.635,5.15,0.484,1
Cinnamon,None,0.0,3.22,4.52,0.88,0.94,9.92,12.93,65.62,0.373,6.14,0.328,0
Chili Powder,None,0.0,6.81,4.22,0.52,1.12,10.23,14.07,73.67,0.332,5.56,0.3,0
Black Pepper,None,0.0,3.0,2.14,0.44,1.53,11.12,15.54,66.7,0.313,5.7,0.081,0
Chili Powder,Brick Powder,39.020409239333816,6.74,1.87,2.1,0.1,10.99,13.4,48.17,0.541,5.31,0.691,1
Ginger,None,0.0,6.93,3.31,0.48,0.4,10.27,13.16,68.28,0.339,5.49,0.349,0
Black Pepper,None,0.0,5.41,1.31,0.71,0.87,12.54,16.76,63.56,0.423,5.83,0.232,0
Paprika,None,0.0,5.25,2.08,0.23,0.93,8.85,16.92,59.12,0.39,5.43,0.199,0
Cinnamon,Hazelnut,20.8820961511203,4.56,4.32,1.38,0.1,11.05,11.57,79.66,0.361,5.55,0.423,1
Ginger,Wheat Flour,54.60509393182781,8.53,1.03,2.76,0.1,10.12,16.48,52.1,0.565,5.38,0.55,1
Cinnamon,Walnut Shell,24.808821200098667,4.5,2.87,1.7,1.02,9.58,14.13,63.85,0.482,5.5,0.216,1
Black Pepper,None,0.0,3.0,2.61,0.24,0.76,11.65,12.91,81.53,0.396,5.36,0.165,0
Chili Powder,None,0.0,4.91,1.75,0.67,0.34,8.04,13.47,65.7,0.356,5.84,0.05,0
Turmeric,Starch,7.9154819215319625,6.74,2.84,0.67,0.16,11.47,16.29,56.55,0.437,5.04,0.466,1
Turmeric,Lead Chromate,25.870271310658257,5.18,4.37,1.99,0.55,8.39,18.39,53.85,0.464,5.52,0.191,1
Turmeric,Chalk Powder,50.01203373349964,8.51,1.36,2.38,0.1,8.81,19.35,60.96,0.6,4.96,0.443,1
Black Pepper,None,0.0,6.35,2.53,0.23,1.07,10.04,18.13,67.35,0.39,5.21,0.155,0
Chili Powder,None,0.0,6.91,3.34,0.92,1.28,8.4,15.35,55.07,0.281,5.12,0.191,0
Cinnamon,Peanut Shell,41.25107370625285,7.59,1.0,2.1,0.1,8.47,19.91,62.82,0.637,6.1,0.602,1
Turmeric,None,0.0,5.26,2.62,0.21,1.15,10.35,18.59,62.73,0.22,6.53,0.38,0
Ginger,None,0.0,5.27,3.13,0.36,1.65,10.11,7.74,73.37,0.377,5.64,0.187,0
Ginger,Wheat Flour,52.961518706499454,7.13,2.38,2.58,0.1,10.89,16.82,61.76,0.635,5.45,0.605,1
Chili Powder,Sudan Red Dye,56.643510391898666,6.48,1.86,2.56,0.1,8.57,13.5,90.91,0.626,5.54,0.664,1
Turmeric,None,0.0,4.29,4.14,0.59,1.73,9.74,19.11,54.59,0.358,5.04,0.088,0
Turmeric,None,0.0,4.64,3.21,0.83,0.54,9.33,14.29,60.03,0.297,4.99,0.281,0
Cumin,None,0.0,3.0,3.4,0.66,1.04,9.36,12.51,72.2,0.316,5.85,0.226,0
Chili Powder,Brick Powder,61.5346064843112,8.81,2.92,3.18,0.1,10.09,13.5,56.6,0.637,6.58,0.552,1
Paprika,None,0.0,3.0,3.02,1.27,1.4,10.51,15.07,69.12,0.366,5.16,0.389,0
Cinnamon,None,0.0,7.42,4.72,0.71,2.11,10.65,17.17,77.97,0.358,5.16,0.368,0
Turmeric,Sawdust,40.39135163201709,5.25,1.07,1.92,0.1,11.74,18.2,53.97,0.563,5.66,0.591,1
Turmeric,None,0.0,3.0,3.04,0.7,0.42,11.51,14.55,74.55,0.356,5.18,0.271,0
Cinnamon,None,0.0,5.09,3.5,0.36,0.1,8.16,16.14,75.48,0.376,5.7,0.082,0
Paprika,None,0.0,6.43,2.91,0.68,1.34,13.86,15.16,70.23,0.27,5.44,0.204,0
Black Pepper,Capsicum,42.29968151679337,7.19,1.44,2.32,0.1,11.37,13.12,55.56,0.51,5.82,0.679,1
Cinnamon,None,0.0,5.37,1.96,0.44,0.64,8.69,16.31,70.42,0.407,5.79,0.08,0
Black Pepper,None,0.0,7.21,5.14,0.39,1.33,13.24,12.83,67.9,0.325,5.41,0.215,0
Cumin,Walnut Shell,69.97035471674113,5.1,1.48,3.42,0.1,8.73,13.25,68.86,0.681,5.2,0.707,1
Turmeric,None,0.0,5.52,3.56,0.45,2.05,10.71,17.67,75.31,0.384,5.59,0.119,0
Cinnamon,None,0.0,5.03,3.87,0.63,0.44,9.4,16.63,85.68,0.368,5.33,0.266,0
Ginger,None,0.0,4.75,2.64,0.38,0.32,11.53,11.81,81.37,0.304,5.5,0.242,0
Ginger,Wheat Flour,56.04247274854098,7.55,1.0,2.88,0.1,11.53,13.24,58.74,0.691,5.69,0.467,1
Ginger,Tapioca,65.15894351037227,7.97,1.0,3.06,0.1,11.9,12.27,60.37,0.752,6.13,0.409,1
Black Pepper,None,0.0,3.71,1.24,0.63,1.15,9.43,15.75,67.79,0.369,5.72,0.17,0
Ginger,Rice Powder,5.893461010737441,4.27,2.3,0.47,0.44,10.29,12.33,76.59,0.472,4.92,0.265,1
Chili Powder,None,0.0,6.09,2.27,0.76,0.27,11.87,15.87,79.63,0.346,6.36,0.073,0
Cinnamon,Walnut Shell,54.688647324907784,8.94,1.0,2.49,0.1,9.1,13.46,60.56,0.622,5.39,0.648,1
Ginger,None,0.0,3.37,1.69,0.67,1.32,10.71,11.08,55.83,0.361,5.47,0.322,0
Ginger,None,0.0,6.09,3.15,0.84,1.12,10.03,10.3,60.57,0.248,5.54,0.174,0
Paprika,None,0.0,6.7,5.37,0.1,0.1,12.07,16.03,60.37,0.369,4.56,0.233,0
Black Pepper,None,0.0,7.1,4.04,0.79,1.49,8.43,18.76,66.74,0.355,5.85,0.392,0
Cumin,None,0.0,4.77,3.82,0.42,0.92,8.72,16.19,70.21,0.323,5.53,0.113,0
Cumin,None,0.0,5.52,1.94,0.23,1.39,11.37,16.38,79.17,0.311,5.35,0.207,0
Paprika,None,0.0,4.87,3.12,0.9,1.38,9.99,15.48,61.79,0.388,5.91,0.254,0
Chili Powder,None,0.0,5.33,3.16,1.05,2.32,12.26,16.43,73.28,0.287,5.36,0.352,0
Turmeric,None,0.0,3.82,1.52,0.87,1.3,11.43,16.66,67.31,0.255,5.32,0.418,0
Paprika,Annatto,20.0811817200727,6.99,2.96,1.7,1.04,11.28,16.22,73.64,0.541,6.05,0.312,1
Cinnamon,None,0.0,5.8,3.39,0.24,1.98,10.16,15.04,76.98,0.316,6.02,0.271,0
Chili Powder,None,0.0,5.46,1.62,0.5,1.02,13.14,17.34,68.96,0.33,5.52,0.196,0
Ginger,None,0.0,4.42,1.75,0.1,0.22,11.36,15.65,75.58,0.233,5.31,0.391,0
Cinnamon,None,0.0,3.85,3.34,0.62,0.97,6.45,14.68,75.16,0.356,5.39,0.05,0
Black Pepper,Cassava Starch,48.36880191762177,7.96,2.14,2.65,0.1,6.61,15.77,62.21,0.516,5.58,0.678,1
Turmeric,None,0.0,7.49,3.14,0.83,1.25,11.27,14.64,74.91,0.396,4.99,0.207,0
Paprika,None,0.0,4.02,4.36,0.56,0.65,11.69,16.63,73.73,0.277,5.19,0.119,0
Chili Powder,Sawdust,7.603842738295141,3.59,2.56,0.85,0.6,6.76,8.93,65.55,0.415,4.5,0.397,1
Ginger,None,0.0,5.46,2.69,0.7,1.25,8.1,13.36,85.64,0.344,5.35,0.196,0
Black Pepper,None,0.0,7.47,3.3,0.19,0.2,11.55,16.43,72.3,0.251,5.13,0.275,0
Turmeric,Metanil Yellow,65.80649337928722,6.9,1.0,2.89,0.1,10.37,16.67,42.26,0.657,6.17,0.524,1
Ginger,None,0.0,3.76,3.62,0.35,0.69,13.13,15.5,65.75,0.408,5.51,0.219,0
Cinnamon,None,0.0,5.25,3.92,0.73,1.76,11.16,15.37,53.91,0.304,5.5,0.147,0
Ginger,None,0.0,4.18,1.52,0.3,1.42,9.09,14.26,60.07,0.382,5.71,0.272,0
Paprika,None,0.0,5.15,3.37,0.28,0.1,11.99,15.13,72.28,0.434,5.53,0.103,0
Cumin,Walnut Shell,9.992198140437399,7.27,1.0,1.19,0.37,9.68,17.0,57.48,0.358,5.15,0.162,1
Cinnamon,None,0.0,3.61,2.65,0.27,0.59,6.3,13.41,60.81,0.332,5.18,0.119,0
Chili Powder,None,0.0,6.05,1.13,0.56,1.17,12.62,12.46,78.32,0.27,5.57,0.216,0
Cinnamon,Walnut Shell,56.81871971761958,7.86,2.4,3.08,0.1,9.48,15.22,57.59,0.592,5.54,0.677,1
Cinnamon,None,0.0,3.0,3.54,0.26,1.36,8.05,15.95,66.99,0.338,5.86,0.14,0
Black Pepper,None,0.0,7.41,2.77,0.1,1.06,7.58,14.01,68.93,0.408,5.06,0.273,0
Turmeric,Starch,47.12682724471802,8.12,2.22,2.26,0.1,10.36,20.27,66.86,0.438,5.99,0.425,1
Turmeric,Chalk Powder,55.66858559256413,6.99,1.43,2.99,0.1,9.9,15.75,65.15,0.686,6.07,0.698,1
Black Pepper,None,0.0,4.8,3.06,0.3,1.53,8.54,18.9,83.33,0.366,5.31,0.339,0
Ginger,None,0.0,3.0,4.38,0.48,1.42,9.96,12.82,75.39,0.286,5.65,0.232,0
Paprika,None,0.0,4.94,1.0,0.66,1.08,7.55,15.5,71.69,0.332,5.14,0.234,0
Paprika,None,0.0,5.02,4.23,0.36,0.35,11.81,18.37,65.9,0.359,5.16,0.146,0
Black Pepper,None,0.0,3.88,2.41,0.91,2.31,7.12,13.06,82.09,0.28,5.66,0.268,0
Cumin,None,0.0,6.87,3.94,0.82,0.65,7.72,16.29,76.06,0.437,5.63,0.159,0
Cinnamon,None,0.0,5.47,2.2,0.1,0.73,8.01,15.41,67.35,0.393,5.98,0.263,0
Chili Powder,None,0.0,3.0,2.91,0.18,1.1,8.84,15.56,70.03,0.332,5.68,0.203,0
Ginger,None,0.0,7.36,1.15,0.1,0.81,11.43,8.76,57.53,0.28,5.16,0.163,0
Ginger,None,0.0,3.68,2.57,1.14,0.67,7.75,15.77,77.48,0.388,5.18,0.202,0
Turmeric,None,0.0,4.91,3.49,0.57,0.69,8.7,15.78,68.48,0.4,5.24,0.32,0
Chili Powder,Talc,5.476719804351718,4.27,2.26,0.66,1.18,9.6,13.32,75.85,0.426,5.39,0.375,1
Turmeric,Chalk Powder,10.92414156390404,6.18,1.51,1.3,0.1,13.0,11.64,63.48,0.392,5.23,0.394,1
Ginger,Wheat Flour,59.844077859174085,8.41,1.0,3.62,0.1,12.59,17.44,53.62,0.73,5.54,0.711,1
Cumin,None,0.0,5.18,2.3,0.51,1.87,7.21,12.74,82.97,0.472,5.6,0.05,0
Black Pepper,None,0.0,5.51,1.54,0.42,0.43,10.34,14.17,71.92,0.311,5.2,0.172,0
Black Pepper,Papaya Seeds,17.759129650219357,6.68,2.52,1.64,0.1,11.09,15.99,64.54,0.484,4.93,0.244,1
Cinnamon,Coffee Bran,57.77129806067469,8.12,1.94,3.71,0.1,12.51,16.5,45.43,0.711,5.63,0.542,1
Ginger,Tapioca,24.720060335893656,7.81,2.83,1.11,0.1,10.56,16.16,54.63,0.478,4.77,0.407,1
Turmeric,Starch,59.998073684465055,4.46,1.0,2.93,0.1,6.65,15.32,69.58,0.621,5.48,0.673,1
Chili Powder,Sawdust,60.99217299620863,8.79,1.0,3.17,0.1,10.74,18.03,59.63,0.691,5.44,0.75,1
Chili Powder,None,0.0,3.0,3.97,0.88,0.9,10.5,15.96,87.09,0.315,5.41,0.175,0
Chili Powder,None,0.0,3.47,3.01,0.39,0.87,10.08,14.88,54.39,0.322,4.89,0.275,0
Cumin,None,0.0,6.21,3.86,0.39,0.47,10.38,16.7,78.52,0.341,5.92,0.05,0
Ginger,None,0.0,3.16,2.23,0.1,1.5,12.37,12.03,66.28,0.366,5.75,0.196,0
Turmeric,None,0.0,6.23,2.34,0.62,0.13,9.87,17.51,62.96,0.361,5.49,0.14,0
Chili Powder,Brick Powder,59.88046616990486,7.17,1.95,2.62,0.1,12.29,16.24,58.49,0.609,5.27,0.522,1
Cinnamon,None,0.0,6.46,4.26,0.59,0.29,10.72,12.95,69.56,0.316,5.4,0.225,0
Turmeric,None,0.0,6.34,4.1,0.6,0.81,10.43,17.78,76.48,0.363,5.96,0.367,0
Paprika,None,0.0,4.41,1.51,0.3,1.09,11.94,12.57,65.96,0.328,5.13,0.342,0
Ginger,Corn Starch,39.74634924516006,5.5,1.08,2.09,0.1,10.55,14.48,64.01,0.54,5.65,0.471,1
Chili Powder,None,0.0,3.0,3.47,0.1,0.55,10.47,18.72,72.49,0.463,5.5,0.05,0
Chili Powder,Brick Powder,53.659566057819106,4.41,1.47,2.72,0.1,10.48,15.05,73.44,0.66,5.72,0.435,1
Cinnamon,None,0.0,5.83,2.71,0.28,2.69,9.62,18.09,63.43,0.336,6.08,0.352,0
Cumin,Rice Bran,38.67501573784147,7.38,2.48,2.16,0.1,9.51,18.18,68.07,0.507,5.81,0.5,1
Black Pepper,None,0.0,6.2,4.5,1.25,0.59,8.71,10.86,68.19,0.316,6.32,0.141,0
Cumin,Grass Seeds,38.670678039446365,4.2,2.45,1.19,0.1,8.85,16.18,67.02,0.445,4.96,0.517,1
Black Pepper,None,0.0,3.87,1.43,0.69,2.2,9.23,11.52,73.11,0.384,5.24,0.059,0
Chili Powder,None,0.0,5.32,3.32,0.35,1.15,9.93,15.71,58.87,0.348,5.97,0.26,0
Cumin,Pecan Shell,54.16932071927927,5.34,1.0,2.66,0.1,10.14,11.06,56.77,0.598,5.72,0.562,1
Chili Powder,None,0.0,3.45,3.17,0.8,1.18,9.09,14.54,54.68,0.339,5.15,0.158,0
Ginger,None,0.0,4.58,4.05,0.63,0.7,8.2,12.18,59.89,0.268,5.56,0.134,0
Cumin,None,0.0,5.24,4.27,0.73,0.1,8.89,18.02,66.23,0.333,6.17,0.185,0
Cumin,Small Broken Rice,16.418686497134196,8.96,2.41,1.39,0.1,10.06,14.97,62.46,0.426,4.77,0.213,1
Paprika,None,0.0,6.26,1.29,0.56,0.21,12.35,15.53,78.83,0.368,5.67,0.366,0
Cumin,Walnut Shell,52.450111870255995,6.0,1.64,2.77,0.1,8.86,17.64,53.77,0.566,5.89,0.656,1
Paprika,None,0.0,3.0,4.25,0.44,1.69,6.69,14.86,89.26,0.364,5.8,0.197,0
Paprika,None,0.0,7.01,1.87,0.76,0.7,8.92,12.59,66.85,0.338,5.72,0.19,0
Cumin,None,0.0,3.64,3.18,0.27,0.1,6.36,13.22,81.64,0.321,5.83,0.112,0
Cinnamon,None,0.0,4.5,1.0,0.5,0.72,11.84,12.39,64.36,0.432,5.74,0.23,0
Turmeric,Starch,14.055766354573013,3.64,1.0,1.33,0.1,7.4,14.46,63.05,0.463,4.62,0.297,1
Paprika,None,0.0,4.71,1.0,0.64,0.1,9.38,16.8,70.79,0.47,5.01,0.221,0
Paprika,None,0.0,3.97,2.44,1.0,0.82,13.69,12.3,72.09,0.34,4.91,0.242,0
Ginger,None,0.0,4.16,3.04,0.4,0.53,8.25,11.17,74.41,0.398,5.73,0.336,0
Turmeric,None,0.0,3.0,2.81,0.71,1.51,8.79,16.37,82.14,0.388,5.41,0.307,0
Black Pepper,Corn Flour,11.664397884807089,5.74,2.67,1.33,0.79,14.53,17.32,66.43,0.323,5.03,0.447,1
Cinnamon,Coffee Bran,8.70515519087571,7.44,3.43,1.17,0.48,8.94,12.75,55.73,0.434,5.64,0.507,1
Paprika,None,0.0,5.59,2.06,0.67,1.39,11.5,14.23,67.55,0.341,5.41,0.316,0
Turmeric,None,0.0,4.49,1.05,0.6,0.83,8.41,13.4,77.4,0.26,5.46,0.152,0
Paprika,Pedicel,42.34784284087217,9.37,4.43,2.11,0.1,11.61,14.35,55.15,0.605,5.82,0.441,1
Chili Powder,None,0.0,6.3,2.54,0.55,0.84,10.0,16.3,65.86,0.464,5.08,0.092,0
Black Pepper,None,0.0,4.46,1.11,0.4,1.06,10.28,15.6,70.74,0.299,5.07,0.235,0
Turmeric,Starch,45.92943369184819,4.37,1.72,2.37,0.1,9.4,14.66,68.77,0.579,6.34,0.455,1
Black Pepper,Capsicum,43.70196210530705,6.17,2.24,2.88,0.1,8.41,14.18,59.75,0.536,5.79,0.402,1
Turmeric,Chalk Powder,52.59424841029445,7.46,1.7,2.05,0.1,9.79,13.68,54.37,0.677,6.27,0.481,1
Turmeric,None,0.0,7.76,3.76,0.17,1.07,8.88,14.17,67.18,0.395,5.72,0.165,0
Turmeric,None,0.0,4.38,5.0,0.33,1.07,10.79,11.16,78.26,0.283,5.59,0.137,0
Cumin,None,0.0,5.09,3.73,0.5,0.76,8.46,12.02,75.97,0.369,5.71,0.247,0
Ginger,None,0.0,5.95,2.6,0.16,1.81,9.56,12.64,85.09,0.439,5.5,0.252,0
Turmeric,None,0.0,7.01,3.24,0.85,0.4,9.88,14.42,73.41,0.425,5.45,0.104,0
Ginger,Tapioca,67.45391211021226,7.48,1.37,3.1,0.1,11.87,14.59,42.74,0.741,5.73,0.531,1
Paprika,None,0.0,3.0,2.62,0.79,0.92,8.78,16.81,63.51,0.238,5.04,0.235,0
Chili Powder,Talc,24.402051374872613,3.1,3.57,1.24,0.1,7.44,15.75,65.21,0.478,4.9,0.464,1
Ginger,None,0.0,6.4,2.41,0.54,0.67,9.2,15.59,63.76,0.364,5.46,0.242,0
Black Pepper,Mustard Husk,40.07801627870491,6.06,1.0,2.39,0.1,9.85,20.03,51.57,0.537,5.54,0.527,1
Paprika,None,0.0,5.3,3.2,0.49,0.85,11.44,11.32,57.91,0.482,4.93,0.124,0
Paprika,None,0.0,4.09,4.16,0.72,1.44,8.27,15.83,71.87,0.326,5.02,0.305,0
Black Pepper,Cassava Starch,14.97183735529072,4.1,1.0,1.22,0.2,7.81,15.08,61.02,0.431,5.16,0.348,1
Ginger,None,0.0,3.62,2.22,0.46,1.86,8.4,14.97,76.78,0.253,5.38,0.191,0
Chili Powder,Sawdust,27.161607106769633,7.62,3.38,1.85,0.1,12.17,18.33,63.57,0.534,5.27,0.574,1
Paprika,Seed Cake,25.248299435909093,5.59,3.16,1.85,0.1,8.72,10.68,53.61,0.44,5.78,0.383,1
Cumin,None,0.0,3.0,3.55,0.29,1.22,9.6,13.63,78.84,0.515,5.63,0.108,0
Paprika,None,0.0,3.44,4.18,0.28,1.89,11.3,16.05,65.96,0.376,5.67,0.197,0
Ginger,None,0.0,4.93,3.94,0.51,0.91,9.6,9.97,75.34,0.415,5.3,0.338,0
Cumin,None,0.0,5.64,3.03,0.66,1.98,10.5,15.16,76.37,0.325,5.46,0.051,0
Turmeric,Lead Chromate,30.170993133225874,6.46,4.05,1.96,0.1,9.59,11.31,58.85,0.455,5.04,0.56,1
Chili Powder,None,0.0,6.34,2.54,0.64,0.26,9.82,15.99,61.24,0.33,5.6,0.253,0
Paprika,None,0.0,5.69,4.63,0.1,0.1,9.75,12.41,67.73,0.342,5.43,0.208,0
Ginger,None,0.0,5.66,3.5,0.46,0.94,10.44,16.91,70.9,0.446,5.79,0.096,0
Black Pepper,Cassava Starch,44.453252557827255,7.21,1.36,2.1,0.1,8.32,20.69,55.12,0.493,5.72,0.225,1
Black Pepper,Capsicum,12.584792795833486,4.56,3.96,0.81,1.2,9.12,13.71,65.57,0.399,5.31,0.241,1
Cumin,None,0.0,5.71,4.04,0.4,0.84,11.0,14.29,75.68,0.488,4.86,0.355,0
Black Pepper,None,0.0,4.15,2.42,1.14,1.02,9.9,17.11,73.43,0.304,5.45,0.292,0
Paprika,None,0.0,3.89,1.22,0.58,1.62,9.55,13.14,67.08,0.284,5.43,0.05,0
