Fat_percent,SNF_percent,Protein_percent,Lactose_percent,Moisture_percent,Total_Solids_percent,pH,Specific_Gravity,Acidity_Titratable_pct,Viscosity_cP,Conductivity_mS_cm,CLR_Corrected_Lactometer,Urea_mg_per_100mL,Melamine_ppm,Total_Plate_Count_CFU_mL,Coliform_CFU_mL,MBRT_hours,Adulteration_Index_0_1,FSSAI_Chemical_Score,Estimated_Added_Water_pct,Is_Adulterated
3.0468,8.9359,3.3511,4.7558,88.2743,11.9827,6.649,1.0285,0.1416,1.8388,4.8958,15.52,22.084,0.0,42190,3,3.77,0.0,100.0,0.0,0
2.0467,9.4658,3.3783,4.647,89.4345,11.5125,6.74,1.0286,0.1699,1.8329,4.8268,17.95,21.019,0.0,49691,13,4.62,0.0078,97.91,0.0,0
6.2263,9.7812,4.6038,4.9988,85.26,16.0075,6.779,1.0315,0.1313,2.0007,5.0374,21.93,24.945,5.469,15223,3,4.12,0.703,29.32,0.58,1
7.2193,9.7564,3.2125,4.9642,85.5708,16.9757,6.576,1.0311,0.1488,2.033,4.975,14.72,21.181,0.0,61777,7,4.53,0.0,100.0,0.0,0
3.3271,8.8464,3.08,4.792,87.85,12.1735,6.786,1.0315,0.1327,1.9601,4.504,21.33,20.518,0.0,142175,8,4.91,0.0,100.0,0.0,0
0.4555,9.1565,3.1061,4.8911,89.8664,9.612,6.597,1.0298,0.1318,1.716,5.0674,18.2,25.298,0.0,26781,30,4.93,0.0507,97.96,1.68,0
3.6518,8.784,3.3122,4.7757,87.6384,12.4358,6.564,1.0296,0.1395,1.9287,4.8405,15.22,23.336,0.0,83717,2,3.83,0.0,98.96,1.08,0
3.6184,8.8191,3.2352,4.5688,88.1451,12.4375,6.78,1.0306,0.1411,1.8892,4.7348,19.44,25.254,0.0,28873,16,4.31,0.0189,98.52,1.3,0
3.6584,8.6155,3.0394,4.7938,87.796,12.2739,6.551,1.0281,0.1486,1.7955,4.8959,15.3,20.775,0.0,19175,6,3.97,0.0,99.07,0.72,0
6.1285,9.1437,3.2964,4.9864,85.7134,15.2722,6.727,1.0307,0.1501,1.8359,4.5404,20.16,28.996,0.0,36349,2,3.97,0.0386,99.07,0.0,0
5.0606,8.775,3.1685,4.529,87.0582,13.8356,6.729,1.0317,0.1365,1.8884,4.7008,21.11,29.208,0.0,21956,5,3.59,0.0256,100.0,0.91,0
3.1846,8.8443,3.1286,4.5667,87.7366,12.0289,6.742,1.0303,0.1326,1.7152,4.7005,14.61,24.048,0.0,106931,24,3.83,0.0212,98.54,0.0,0
5.1374,8.8874,3.1046,4.7786,86.876,14.0248,6.755,1.0304,0.1401,1.7815,4.8336,18.12,22.961,0.0,52168,21,3.68,0.0,97.62,0.0,0
3.6945,8.9194,3.1491,4.7236,87.9275,12.6139,6.683,1.0311,0.1331,1.936,4.927,21.34,26.956,0.0,29471,18,4.77,0.0,98.64,0.19,0
3.0142,8.536,3.0624,4.5164,87.9009,11.5502,6.709,1.0301,0.1538,1.8888,5.167,21.51,20.864,0.0,55566,1,4.12,0.0,99.46,0.0,0
6.1516,9.5537,3.2249,4.8038,86.495,15.7053,6.704,1.0292,0.155,1.9108,4.5915,17.6,28.866,0.0,46181,6,4.66,0.0,100.0,0.0,0
3.3735,8.6581,3.2328,4.6824,88.3752,12.0316,6.633,1.0295,0.1396,1.7683,4.5239,21.67,24.177,0.0,80278,44,3.77,0.0437,99.14,0.0,0
0.4162,8.8833,3.1259,4.7548,90.3345,9.2995,6.656,1.0285,0.1664,1.8104,5.0712,19.28,29.812,0.0,155145,2,3.38,0.0413,98.22,0.0,0
5.4794,8.6279,3.4645,4.5833,86.8737,14.1073,6.78,1.0316,0.1629,1.8507,4.9771,20.06,24.11,0.0,39793,35,4.16,0.0504,100.0,0.0,0
5.12,8.7452,3.4818,4.6371,87.4416,13.8652,6.775,1.0308,0.1527,1.9036,4.7087,17.08,22.232,0.0,16632,7,4.74,0.0,100.0,0.0,0
3.3467,8.8966,3.2647,4.6232,88.004,12.2433,6.715,1.0316,0.1372,1.8933,4.7258,14.78,29.677,0.0,45322,22,3.22,0.0045,99.92,1.55,0
2.1482,9.202,3.1065,4.8367,88.5127,11.3502,6.704,1.0288,0.1377,1.9613,4.7194,18.64,21.494,0.0,136126,22,3.85,0.0,100.0,0.0,0
5.2387,8.823,3.425,4.7779,86.5578,14.0617,6.798,1.0292,0.1497,1.9608,4.9918,17.0,26.598,0.0,70670,8,3.3,0.0,100.0,0.0,0
1.9325,9.4407,3.2858,4.7353,89.4667,11.3732,6.601,1.03,0.1345,1.7431,5.1523,21.91,27.388,0.0,45366,7,3.89,0.0401,97.53,1.34,0
6.0881,9.502,3.5928,4.7934,85.6199,15.5901,6.61,1.029,0.1662,1.9588,4.9718,16.19,28.2,0.0,18728,6,4.36,0.0011,100.0,0.0,0
3.0755,8.8633,3.1348,4.7385,87.6637,11.9388,6.677,1.0284,0.1445,1.7339,5.09,20.12,22.702,0.0,77567,4,4.01,0.0,100.0,0.0,0
3.0927,8.9509,3.062,4.5913,88.2905,12.0436,6.775,1.03,0.1695,1.9065,4.7533,19.48,29.413,0.0,52742,10,3.21,0.0,100.0,1.09,0
4.8049,9.1064,3.264,4.5496,86.5103,13.9113,6.729,1.0297,0.1351,1.8487,4.9928,18.45,20.782,0.0,92319,2,4.08,0.0,99.98,0.34,0
3.572,8.715,3.3498,4.6897,88.4585,12.287,6.785,1.0304,0.1598,2.0609,5.1035,18.79,25.417,0.0,20093,8,4.5,0.0186,99.13,0.19,0
5.3895,9.1199,3.388,4.8415,87.4225,14.5094,6.793,1.0318,0.1344,1.9091,4.9789,21.08,27.653,0.0,30173,63,4.76,0.008,100.0,0.0,0
5.359,8.8713,3.2811,4.8031,87.2748,14.2303,6.74,1.0306,0.157,2.0434,4.571,15.36,26.455,0.0,64550,2,4.78,0.0515,97.66,0.72,0
4.9102,8.7628,3.3621,4.8069,86.9997,13.673,6.767,1.0287,0.1531,1.9109,5.1671,17.76,26.767,0.0,24836,8,4.66,0.052,98.25,0.0,0
6.0657,9.0237,3.5203,4.7193,85.7398,15.0894,6.674,1.0297,0.1305,1.9272,5.0353,19.39,22.577,0.0,34865,30,3.53,0.0236,97.64,0.0,0
5.2104,9.1785,3.2092,4.6315,86.8511,14.3889,6.694,1.0319,0.1551,1.9824,5.1662,18.16,26.281,0.0,28443,8,3.18,0.0433,99.83,0.0,0
3.1607,8.6529,3.2098,4.6956,88.2795,11.8136,6.793,1.0291,0.1328,1.8383,4.8067,18.39,28.178,0.0,74847,9,3.51,0.0456,98.83,0.92,0
3.1263,8.6646,3.0209,4.6959,87.8398,11.7909,6.738,1.0302,0.1329,1.7247,4.6835,15.75,23.622,0.0,13786,4,4.35,0.0342,98.23,1.38,0
3.7979,8.935,3.3616,4.6757,88.4563,12.7329,6.755,1.0309,0.1612,1.9552,4.8052,16.21,27.069,0.0,74768,14,4.35,0.0275,97.14,0.85,0
1.8292,9.4622,3.4754,4.6163,88.5149,11.2914,6.698,1.0291,0.1404,1.9713,4.617,19.44,28.845,0.0,154915,3,3.08,0.0108,100.0,0.38,0
3.1021,10.6483,3.6628,4.5525,87.9833,13.7504,6.585,1.0357,0.1669,2.0857,5.0397,19.27,28.358,0.0,23862,6,3.91,0.596,50.94,0.68,1
5.3265,9.1809,3.3549,4.6127,87.1066,14.5074,6.719,1.0302,0.1672,1.9472,5.0076,16.18,23.009,0.0,19227,9,4.06,0.0171,99.36,0.0,0
2.4723,11.1136,3.3089,4.8076,88.8864,13.5859,6.709,1.0317,0.1538,3.1915,4.8632,19.12,23.475,0.0,10484,4,4.99,0.6324,77.21,1.38,1
5.2845,8.9173,3.4573,4.5688,86.9207,14.2018,6.555,1.0284,0.1696,1.8122,4.6278,20.02,23.611,0.0,58661,23,4.69,0.0,99.63,1.79,0
6.7173,11.7254,3.5257,4.7634,85.2626,18.4427,6.77,1.0309,0.1516,2.7932,4.8869,17.83,25.553,0.0,84462,58,4.14,0.6601,57.82,1.75,1
3.031,8.8981,3.0257,4.783,87.7154,11.9291,6.566,1.0316,0.1692,1.7585,4.5111,16.49,27.87,0.0,172575,6,4.06,0.0,97.48,0.0,0
6.7409,9.1221,3.2681,4.6017,85.4812,15.863,8.165,1.0304,0.1044,2.7202,6.3959,15.9,29.367,0.0,16329,14,4.02,0.7102,50.91,0.91,1
3.7503,8.8899,3.1802,4.685,88.0044,12.6402,6.774,1.0292,0.1305,1.9783,4.608,16.13,29.925,0.0,31716,6,3.21,0.0048,99.21,0.0,0
3.6591,8.8238,3.3876,4.7142,88.4247,12.4829,6.579,1.0301,0.1351,1.937,4.9358,15.56,20.101,0.0,84764,17,3.85,0.0507,100.0,0.0,0
5.144,9.1451,3.2783,4.6943,86.7378,14.2891,6.622,1.0294,0.1308,1.7164,4.9773,21.08,23.302,0.0,25348,5,4.49,0.0023,97.32,0.68,0
7.2917,9.3809,3.5126,4.6022,86.3028,16.6726,6.61,1.0294,0.138,1.8698,4.8742,21.86,28.148,0.0,34807,7,4.0,0.0047,100.0,0.0,0
4.3189,6.878,3.3098,4.7446,86.321,11.1969,6.996,1.0198,0.1506,1.9322,4.6671,13.07,28.473,0.0,55810,2,3.69,0.608,67.1,12.75,1
0.1267,8.8972,3.4341,4.6691,89.7619,9.0239,6.768,1.0302,0.1525,1.7027,5.0644,15.41,20.367,0.0,151257,13,3.16,0.0262,98.61,1.81,0
3.4744,8.5511,3.3675,4.737,87.523,12.0255,6.743,1.0295,0.1328,1.7309,5.0883,14.98,29.107,0.0,30267,6,3.62,0.0205,99.66,0.0,0
4.7683,8.8576,3.2342,4.682,86.6665,13.6259,6.568,1.0316,0.138,2.0028,4.8321,19.57,22.913,0.0,19741,6,4.36,0.0264,99.14,0.0,0
4.6698,8.9065,3.2935,4.7915,86.9414,13.5763,6.623,1.0288,0.1406,1.7379,4.5256,19.97,21.864,0.0,53224,28,4.16,0.0336,98.9,0.0,0
2.0559,9.1384,3.1171,4.6702,89.1502,11.1943,6.67,1.0308,0.1423,1.9676,4.8073,19.54,28.973,0.0,125667,6,3.76,0.0241,100.0,0.3,0
3.5984,8.6019,3.3739,4.658,87.5925,12.2003,6.7,1.0294,0.158,2.0528,4.9499,16.04,25.122,0.0,59228,1,4.81,0.0,100.0,1.02,0
6.0521,9.375,3.3595,4.6548,86.0314,15.4271,6.649,1.0305,0.1685,2.0326,5.0162,18.1,21.281,0.0,26977,6,3.91,0.0,99.19,0.0,0
3.5521,8.9187,3.1292,4.7667,87.6606,12.4708,6.617,1.0285,0.1392,1.7426,4.5973,14.38,27.473,0.0,53253,11,4.28,0.0483,100.0,1.21,0
3.7654,8.5769,3.1914,4.6613,87.9919,12.3423,6.718,1.0285,0.1439,1.8356,4.704,19.23,21.173,0.0,36133,39,4.66,0.0,98.37,0.25,0
0.1203,9.0544,3.4259,4.8155,90.0668,9.1747,6.584,1.029,0.1423,1.7035,4.6125,17.32,27.246,0.0,75929,3,3.26,0.008,100.0,0.0,0
6.33,9.0071,3.4865,4.7378,86.18,15.3371,6.755,1.0285,0.1369,1.8364,4.7441,14.78,27.637,0.0,112204,6,4.19,0.0,98.45,0.0,0
3.3624,8.5631,3.1694,4.5118,88.4241,11.9255,6.708,1.0315,0.1627,2.0494,4.6356,18.1,23.666,0.0,65858,8,4.51,0.0,97.41,0.83,0
6.9337,9.0415,3.353,4.7575,86.4984,15.9752,6.755,1.0282,0.1512,1.9147,5.067,20.09,27.619,0.0,187874,6,4.78,0.0099,98.8,0.49,0
6.3878,9.713,3.3931,4.6543,85.5763,16.1008,6.6,1.0282,0.1475,2.0227,4.9244,16.75,22.006,0.0,37760,9,3.64,0.0,99.39,0.32,0
2.2045,9.3437,3.1227,4.6439,89.3126,11.5482,6.639,1.0286,0.1378,2.0102,4.8143,19.42,21.517,0.0,75138,4,3.48,0.0266,99.03,0.0,0
1.5229,9.2829,3.1144,4.6341,89.2051,10.8058,6.753,1.0299,0.1644,1.7667,4.5942,15.83,27.975,0.0,67558,3,3.47,0.0503,100.0,0.0,0
3.3988,8.5937,3.2535,4.6771,88.1519,11.9925,6.687,1.0304,0.1383,1.7833,4.9982,20.77,26.063,0.0,41936,15,3.79,0.0,100.0,0.0,0
3.7218,8.8441,3.0247,4.5118,88.0664,12.5659,6.631,1.029,0.1599,1.9408,4.6045,16.25,21.76,0.0,51419,8,4.34,0.0449,100.0,0.25,0
1.7204,9.3653,3.4914,4.8104,88.7607,11.0857,6.723,1.0288,0.1588,1.935,4.7142,18.99,21.553,0.0,12158,23,4.95,0.0,99.72,0.42,0
6.2213,9.6376,3.2252,4.8746,85.5497,15.8589,6.791,1.0285,0.1426,2.0241,4.6506,21.9,28.254,0.0,12716,14,4.55,0.0395,97.64,0.0,0
6.7583,9.1904,3.4895,4.8579,85.6012,15.9487,6.575,1.031,0.1541,1.952,4.9327,17.89,24.941,0.0,11361,2,3.54,0.0184,100.0,0.0,0
7.0057,9.0823,3.2259,4.8898,85.9605,16.088,6.68,1.0301,0.1583,1.8294,4.661,16.69,22.38,0.0,113942,2,4.76,0.0169,100.0,0.0,0
5.3426,10.6184,4.7686,4.6002,86.7388,15.961,6.569,1.0317,0.1339,1.8937,5.0952,17.5,21.713,2.545,22721,4,4.17,0.7032,25.68,0.75,1
2.1788,9.14,3.1968,4.6072,88.8466,11.3188,6.619,1.0308,0.1465,1.8265,4.684,17.06,23.983,0.0,80622,5,4.73,0.0,100.0,1.66,0
1.5945,9.1854,3.3836,4.6904,89.1564,10.7799,6.564,1.0285,0.1672,1.9207,4.7329,17.96,25.927,0.0,49847,2,3.51,0.0,98.35,1.11,0
2.2593,9.1827,3.1288,4.7398,89.1798,11.442,6.791,1.0298,0.1553,1.9157,4.8228,21.61,25.448,0.0,46825,11,3.48,0.0012,100.0,0.0,0
3.2626,8.7596,3.1709,4.7942,87.9962,12.0222,7.294,1.0299,0.0729,1.8368,6.1768,15.74,29.181,0.0,9312,14,3.28,0.581,71.14,0.0,1
3.4454,8.7089,3.2301,4.7206,87.6035,12.1543,6.756,1.0294,0.1605,2.0382,4.9552,20.3,27.173,0.0,70158,7,3.62,0.0,100.0,1.21,0
2.0712,9.2081,3.2299,4.8339,89.2232,11.2793,6.608,1.0303,0.1446,2.0977,4.8041,16.01,28.395,0.0,9370,2,3.85,0.0,97.3,0.0,0
0.4045,8.8214,3.3864,4.6189,90.2536,9.2259,6.634,1.028,0.1422,1.7823,4.7031,18.25,20.36,0.0,44833,25,3.66,0.0004,99.71,0.45,0
6.0524,9.7918,3.212,4.7778,85.7569,15.8442,6.592,1.0294,0.1605,1.9028,5.1896,17.47,27.68,0.0,19991,67,4.0,0.0,100.0,0.53,0
0.1715,8.9556,3.1959,4.8729,90.4815,9.1271,6.629,1.0296,0.1397,2.0563,4.7932,15.32,26.565,0.0,244682,4,4.61,0.0033,99.9,1.57,0
6.9372,9.2692,3.2845,4.7253,85.2683,16.2064,6.649,1.029,0.1479,1.8282,5.1799,20.89,24.38,0.0,24838,3,4.03,0.0168,99.78,0.92,0
6.8057,9.4695,3.4982,4.7727,85.1914,16.2752,6.641,1.0306,0.1528,1.8424,4.924,14.81,22.372,0.0,34658,5,3.35,0.0238,99.22,1.83,0
4.6592,8.8311,3.2784,4.8141,87.3238,13.4903,6.758,1.0284,0.1483,1.8146,4.9989,14.92,28.312,0.0,61861,13,4.54,0.0319,97.98,0.0,0
3.5136,8.7504,3.3613,4.782,87.6635,12.264,6.67,1.0298,0.1614,1.7373,4.9696,21.96,28.753,0.0,24227,10,4.63,0.0,100.0,1.43,0
2.3195,9.2998,3.4913,4.7975,89.1,11.6193,6.635,1.0307,0.1541,1.8479,4.7398,18.65,20.442,0.0,21844,2,3.98,0.0001,100.0,0.0,0
7.4749,9.1974,3.4901,4.6105,86.1751,16.6723,6.571,1.0285,0.1418,1.8419,4.5428,15.83,26.502,0.0,66500,4,3.32,0.0,98.93,1.08,0
1.9129,9.3981,3.4973,4.8866,89.2286,11.311,6.635,1.028,0.1695,1.8962,5.0687,18.33,23.975,0.0,15113,12,3.69,0.0091,100.0,1.08,0
3.4702,8.601,3.3879,4.6283,88.0661,12.0712,6.703,1.0292,0.1619,1.7441,4.6913,15.74,26.158,0.0,28042,19,3.18,0.0,99.87,0.26,0
6.1422,9.0054,3.2612,4.6276,86.4937,15.1476,6.587,1.029,0.1674,1.9081,5.1114,16.68,23.95,0.0,32989,3,4.15,0.0,98.73,0.0,0
6.3462,9.7325,3.4465,4.6985,86.036,16.0787,6.675,1.0319,0.1573,1.8502,5.1192,15.6,21.252,0.0,76942,18,4.24,0.0,100.0,1.13,0
3.4238,8.9912,3.2991,4.6727,88.3508,12.415,6.554,1.0308,0.1339,1.7462,4.6894,21.34,26.286,0.0,21531,5,4.74,0.0,99.75,0.92,0
3.488,8.6565,3.1084,4.6793,88.3661,12.1445,6.577,1.0286,0.1678,1.9946,4.6418,19.61,25.876,0.0,25037,45,3.9,0.0153,98.06,1.45,0
0.3785,9.036,3.1963,4.7974,90.2503,9.4145,6.671,1.0292,0.1403,1.7104,4.8878,16.27,20.016,0.0,60309,23,3.38,0.0,99.99,0.0,0
0.2539,8.7246,3.3876,4.7153,90.2236,8.9785,6.776,1.0286,0.1368,1.8366,5.148,20.98,29.07,0.0,89682,4,3.28,0.0001,100.0,0.0,0
1.953,9.116,3.4679,4.756,89.0435,11.069,6.758,1.0306,0.1655,2.0808,4.7443,15.92,23.972,0.0,197030,25,3.62,0.0,98.69,1.64,0
0.4534,8.7119,3.2528,4.7751,89.7414,9.1653,6.707,1.0316,0.1682,1.7041,4.8925,18.94,22.377,0.0,107313,3,4.69,0.0,100.0,1.42,0
0.3256,9.0967,3.3968,4.7643,89.5145,9.4223,6.695,1.0316,0.154,1.7944,4.9362,21.65,25.971,0.0,8850,14,3.65,0.0466,97.48,0.0,0
5.428,8.8952,3.3539,4.6711,87.3144,14.3232,6.756,1.032,0.1559,1.9115,4.6363,14.5,26.567,0.0,26762,11,3.54,0.0,100.0,0.0,0
3.5617,8.6657,3.2703,4.6188,88.2563,12.2274,6.653,1.0317,0.14,1.7482,5.1785,14.5,23.778,0.0,91036,10,4.32,0.0,98.0,0.32,0
2.3801,9.4453,3.2818,4.9437,88.6015,11.8254,6.687,1.0306,0.1361,1.8889,4.9215,19.9,28.551,0.0,288489,25,4.98,0.0205,100.0,0.0,0
3.3358,8.6654,3.0424,4.6453,88.3502,12.0012,6.73,1.0295,0.1583,1.8862,4.7933,14.92,21.327,0.0,133552,3,3.53,0.0392,99.86,0.0,0
1.8222,9.3227,3.4551,4.8033,89.2205,11.1449,6.768,1.0301,0.1677,1.9516,4.9287,16.98,22.985,0.0,27481,7,4.97,0.0074,100.0,0.0,0
2.0733,9.0613,3.2665,4.7193,89.3755,11.1346,6.694,1.0289,0.162,2.072,4.845,15.5,28.351,0.0,75310,8,3.52,0.0327,98.72,1.09,0
4.552,9.0504,3.1805,4.6034,86.6647,13.6024,6.739,1.0301,0.1382,2.0511,5.1094,17.61,22.388,0.0,249642,22,4.0,0.021,100.0,1.43,0
2.1657,9.1325,3.3282,4.7769,89.0564,11.2982,6.765,1.0306,0.1376,1.7252,4.5109,16.94,23.183,0.0,58184,9,4.02,0.0,97.73,0.0,0
5.4436,8.5293,3.3012,4.7337,87.4202,13.9729,6.693,1.0314,0.1397,2.0505,5.0127,19.26,29.331,0.0,31476,9,4.38,0.0048,100.0,0.0,0
4.8064,9.1967,3.4967,4.5748,86.713,14.0031,6.587,1.03,0.146,1.8298,5.0797,15.78,29.879,0.0,54019,24,4.45,0.0114,99.7,1.23,0
3.6566,8.7063,3.3308,4.7273,88.1784,12.3629,6.708,1.03,0.1485,2.0961,4.5224,19.82,26.265,0.0,63298,21,3.62,0.0,100.0,0.02,0
4.5422,8.7912,3.1071,4.59,86.8888,13.3334,6.579,1.0313,0.1317,1.9756,4.5915,19.13,21.954,0.0,71450,7,3.28,0.0,97.3,1.19,0
5.0319,8.5466,3.1916,4.7171,86.9315,13.5785,6.733,1.0308,0.1367,2.0515,5.019,21.98,25.732,0.0,96983,24,4.43,0.0367,100.0,0.0,0
6.9635,9.0494,3.5785,4.8559,85.597,16.0129,6.591,1.0294,0.1662,2.0221,5.1774,15.41,25.734,0.0,7243,18,3.29,0.052,100.0,0.6,0
3.3249,8.5107,3.2651,4.6097,88.214,11.8356,6.713,1.0312,0.1552,1.8675,4.5837,20.09,27.794,0.0,79028,6,3.77,0.0457,100.0,0.0,0
2.107,9.2676,3.4976,4.8318,89.4275,11.3746,6.622,1.0281,0.1476,2.0445,4.9226,14.86,21.567,0.0,38093,9,4.81,0.0426,99.14,1.26,0
5.1105,8.6621,3.3997,4.7057,86.7182,13.7726,6.55,1.0315,0.1305,1.7028,5.1815,16.02,28.559,0.0,49034,15,3.72,0.0409,99.66,0.42,0
7.3773,9.0886,3.5038,4.9952,86.3519,16.4659,6.628,1.029,0.1628,2.0519,4.671,14.7,21.129,0.0,30979,43,4.23,0.0516,100.0,0.09,0
6.9211,9.5891,3.2725,4.6985,85.3883,16.5102,6.652,1.0301,0.159,1.8486,4.958,16.08,26.673,0.0,39810,10,3.05,0.0,98.73,0.0,0
1.6722,9.2431,3.3936,4.9096,89.2847,10.9153,6.598,1.0304,0.1596,1.8277,5.0017,15.33,22.997,0.0,35038,4,3.19,0.0174,100.0,0.0,0
6.8142,9.6324,3.2805,4.794,85.9111,16.4466,6.745,1.0292,0.1384,1.9233,5.1442,17.87,28.801,0.0,14751,2,4.09,0.0136,99.78,0.0,0
3.7038,8.9286,3.15,4.6386,87.5124,12.6324,6.665,1.0316,0.1658,2.0864,4.5057,14.55,26.415,0.0,78075,2,3.21,0.0304,99.9,1.45,0
3.4582,8.9353,3.0089,4.7216,87.6694,12.3935,6.693,1.0291,0.1367,2.0542,4.5255,15.63,25.001,0.0,18271,9,4.25,0.0,97.63,1.53,0
3.3314,8.6671,3.085,4.6855,88.0626,11.9985,6.574,1.0312,0.137,1.7458,4.7791,16.84,20.598,0.0,216587,16,3.38,0.0428,100.0,0.47,0
1.567,9.0313,3.2752,4.8342,89.1085,10.5983,6.724,1.0285,0.1682,1.8334,4.7039,17.86,29.373,0.0,143525,52,3.62,0.0,97.57,0.0,0
6.9086,9.3286,3.5636,4.7398,85.6158,16.2372,6.749,1.0291,0.1677,1.916,4.8679,14.41,27.72,0.0,30620,11,3.22,0.0072,100.0,1.28,0
7.2043,9.0037,3.3334,4.7593,85.8061,16.208,6.637,1.0294,0.1595,1.8809,4.8167,15.41,21.409,0.0,36619,0,3.72,0.0103,97.34,0.0,0
3.3253,8.7653,3.2029,4.7127,87.91,12.0906,6.747,1.0307,0.168,1.8715,4.5851,14.54,27.733,0.0,40505,15,3.43,0.0486,100.0,0.0,0
2.1761,9.2593,3.4528,4.8271,88.6268,11.4354,6.662,1.0317,0.1564,2.0501,4.7169,15.56,27.187,0.0,850393,31,4.65,0.0181,100.0,0.98,0
